 Total battles: 443979
 Total teams: 887958
 Total pokemon: 5327748
 + ---- + ------------------ + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | RealUse| RealPct | 
 | 371  | Gothorita          | 136    |  0.015% | 107    |  0.015% | 
 | 372  | Nosepass           | 132    |  0.015% | 95     |  0.013% | 
 | 373  | Timburr            | 130    |  0.015% | 96     |  0.013% | 
 | 374  | Sneasel            | 127    |  0.014% | 109    |  0.015% | 
 | 375  | Illumise           | 123    |  0.014% | 94     |  0.013% | 
 | 376  | Chatot             | 123    |  0.014% | 111    |  0.015% | 
 | 377  | Gabite             | 121    |  0.014% | 105    |  0.015% | 
 | 378  | Mantyke            | 119    |  0.013% | 97     |  0.014% | 
 | 379  | Corsola            | 119    |  0.013% | 89     |  0.012% | 
 | 380  | Pineco             | 119    |  0.013% | 95     |  0.013% | 
 | 381  | Metang             | 110    |  0.012% | 93     |  0.013% | 
 | 382  | Machoke            | 110    |  0.012% | 83     |  0.012% | 
 | 383  | Boldore            | 107    |  0.012% | 93     |  0.013% | 
 | 384  | Frillish           | 107    |  0.012% | 86     |  0.012% | 
 | 385  | Diglett            | 101    |  0.011% | 98     |  0.014% | 
 | 386  | Pichu              | 99     |  0.011% | 61     |  0.009% | 
 | 387  | Taillow            | 98     |  0.011% | 76     |  0.011% | 
 | 388  | Charmander         | 98     |  0.011% | 67     |  0.009% | 
 | 389  | Zubat              | 97     |  0.011% | 83     |  0.012% | 
 | 390  | Jigglypuff         | 96     |  0.011% | 78     |  0.011% | 
 | 391  | Magmar             | 95     |  0.011% | 85     |  0.012% | 
 | 392  | Lickitung          | 93     |  0.010% | 83     |  0.012% | 
 | 393  | Dewott             | 92     |  0.010% | 73     |  0.010% | 
 | 394  | Ledian             | 91     |  0.010% | 84     |  0.012% | 
 | 395  | Watchog            | 91     |  0.010% | 75     |  0.010% | 
 | 396  | Starly             | 90     |  0.010% | 70     |  0.010% | 
 | 397  | Kadabra            | 89     |  0.010% | 75     |  0.010% | 
 | 398  | Tentacool          | 88     |  0.010% | 54     |  0.008% | 
 | 399  | Plusle             | 86     |  0.010% | 72     |  0.010% | 
 | 400  | Trapinch           | 86     |  0.010% | 71     |  0.010% | 
 | 401  | Phione             | 86     |  0.010% | 74     |  0.010% | 
 | 402  | Lampent            | 85     |  0.010% | 72     |  0.010% | 
 | 403  | Duosion            | 84     |  0.009% | 67     |  0.009% | 
 | 404  | Unown              | 84     |  0.009% | 65     |  0.009% | 
 | 405  | Swinub             | 83     |  0.009% | 58     |  0.008% | 
 | 406  | Scraggy            | 82     |  0.009% | 75     |  0.010% | 
 | 407  | Mime Jr.           | 80     |  0.009% | 57     |  0.008% | 
 | 408  | Snivy              | 80     |  0.009% | 68     |  0.009% | 
 | 409  | Igglybuff          | 77     |  0.009% | 51     |  0.007% | 
 | 410  | Porygon            | 77     |  0.009% | 58     |  0.008% | 
 | 411  | Gastly             | 76     |  0.009% | 66     |  0.009% | 
 | 412  | Oshawott           | 76     |  0.009% | 64     |  0.009% | 
 | 413  | Minun              | 74     |  0.008% | 59     |  0.008% | 
 | 414  | Roselia            | 72     |  0.008% | 68     |  0.009% | 
 | 415  | Buizel             | 72     |  0.008% | 50     |  0.007% | 
 | 416  | Cubone             | 71     |  0.008% | 56     |  0.008% | 
 | 417  | Pidgeotto          | 70     |  0.008% | 57     |  0.008% | 
 | 418  | Carnivine          | 70     |  0.008% | 60     |  0.008% | 
 | 419  | Luvdisc            | 69     |  0.008% | 55     |  0.008% | 
 | 420  | Wynaut             | 69     |  0.008% | 53     |  0.007% | 
 | 421  | Treecko            | 68     |  0.008% | 55     |  0.008% | 
 | 422  | Feebas             | 68     |  0.008% | 45     |  0.006% | 
 | 423  | Ivysaur            | 67     |  0.008% | 57     |  0.008% | 
 | 424  | Duskull            | 66     |  0.007% | 58     |  0.008% | 
 | 425  | Shuppet            | 65     |  0.007% | 54     |  0.008% | 
 | 426  | Weedle             | 65     |  0.007% | 50     |  0.007% | 
 | 427  | Clefairy           | 64     |  0.007% | 49     |  0.007% | 
 | 428  | Poliwhirl          | 64     |  0.007% | 46     |  0.006% | 
 | 429  | Cleffa             | 62     |  0.007% | 47     |  0.007% | 
 | 430  | Zorua              | 59     |  0.007% | 23     |  0.003% | 
 | 431  | Sunkern            | 59     |  0.007% | 52     |  0.007% | 
 | 432  | Phanpy             | 58     |  0.007% | 40     |  0.006% | 
 | 433  | Abra               | 58     |  0.007% | 50     |  0.007% | 
 | 434  | Kakuna             | 57     |  0.006% | 55     |  0.008% | 
 | 435  | Monferno           | 57     |  0.006% | 46     |  0.006% | 
 | 436  | Quilava            | 55     |  0.006% | 45     |  0.006% | 
 | 437  | Bronzor            | 55     |  0.006% | 51     |  0.007% | 
 | 438  | Wormadam-Trash     | 54     |  0.006% | 49     |  0.007% | 
 | 439  | Dwebble            | 54     |  0.006% | 46     |  0.006% | 
 | 440  | Beautifly          | 54     |  0.006% | 44     |  0.006% | 
 | 441  | Grotle             | 53     |  0.006% | 46     |  0.006% | 
 | 442  | Mothim             | 53     |  0.006% | 44     |  0.006% | 
 | 443  | Fraxure            | 53     |  0.006% | 48     |  0.007% | 
 | 444  | Growlithe          | 53     |  0.006% | 41     |  0.006% | 
 | 445  | Kricketune         | 51     |  0.006% | 39     |  0.005% | 
 | 446  | Mudkip             | 50     |  0.006% | 40     |  0.006% | 
 | 447  | Dratini            | 49     |  0.006% | 35     |  0.005% | 
 | 448  | Bayleef            | 47     |  0.005% | 41     |  0.006% | 
 | 449  | Staryu             | 46     |  0.005% | 38     |  0.005% | 
 | 450  | Natu               | 46     |  0.005% | 35     |  0.005% | 
 | 451  | Aipom              | 45     |  0.005% | 41     |  0.006% | 
 | 452  | Drifloon           | 44     |  0.005% | 29     |  0.004% | 
 | 453  | Koffing            | 43     |  0.005% | 39     |  0.005% | 
 | 454  | Yanma              | 42     |  0.005% | 32     |  0.004% | 
 | 455  | Tepig              | 42     |  0.005% | 39     |  0.005% | 
 | 456  | Bidoof             | 42     |  0.005% | 35     |  0.005% | 
 | 457  | Geodude            | 41     |  0.005% | 35     |  0.005% | 
 | 458  | Charmeleon         | 41     |  0.005% | 36     |  0.005% | 
 | 459  | Doduo              | 40     |  0.005% | 22     |  0.003% | 
 | 460  | Togepi             | 40     |  0.005% | 35     |  0.005% | 
 | 461  | Chinchou           | 40     |  0.005% | 34     |  0.005% | 
 | 462  | Psyduck            | 39     |  0.004% | 21     |  0.003% | 
 | 463  | Darumaka           | 39     |  0.004% | 34     |  0.005% | 
 | 464  | Buneary            | 38     |  0.004% | 32     |  0.004% | 
 | 465  | Ducklett           | 38     |  0.004% | 33     |  0.005% | 
 | 466  | Klang              | 38     |  0.004% | 31     |  0.004% | 
 | 467  | Goldeen            | 38     |  0.004% | 19     |  0.003% | 
 | 468  | Archen             | 37     |  0.004% | 28     |  0.004% | 
 | 469  | Wingull            | 37     |  0.004% | 24     |  0.003% | 
 | 470  | Rhyhorn            | 36     |  0.004% | 26     |  0.004% | 
 | 471  | Shinx              | 35     |  0.004% | 19     |  0.003% | 
 | 472  | Skitty             | 35     |  0.004% | 31     |  0.004% | 
 | 473  | Totodile           | 34     |  0.004% | 33     |  0.005% | 
 | 474  | Caterpie           | 34     |  0.004% | 31     |  0.004% | 
 | 475  | Meowth             | 34     |  0.004% | 32     |  0.004% | 
 | 476  | Omanyte            | 33     |  0.004% | 28     |  0.004% | 
 | 477  | Mienfoo            | 33     |  0.004% | 29     |  0.004% | 
 | 478  | Piplup             | 32     |  0.004% | 22     |  0.003% | 
 | 479  | Grovyle            | 32     |  0.004% | 28     |  0.004% | 
 | 480  | Nidorino           | 31     |  0.003% | 29     |  0.004% | 
 | 481  | Krokorok           | 30     |  0.003% | 22     |  0.003% | 
 | 482  | Gloom              | 29     |  0.003% | 26     |  0.004% | 
 | 483  | Vullaby            | 28     |  0.003% | 25     |  0.003% | 
 | 484  | Hoppip             | 28     |  0.003% | 21     |  0.003% | 
 | 485  | Servine            | 27     |  0.003% | 24     |  0.003% | 
 | 486  | NidoranM           | 26     |  0.003% | 14     |  0.002% | 
 | 487  | Zigzagoon          | 26     |  0.003% | 22     |  0.003% | 
 | 488  | Machop             | 26     |  0.003% | 22     |  0.003% | 
 | 489  | Eelektrik          | 25     |  0.003% | 22     |  0.003% | 
 | 490  | Cyndaquil          | 25     |  0.003% | 25     |  0.003% | 
 | 491  | Teddiursa          | 25     |  0.003% | 24     |  0.003% | 
 | 492  | Mankey             | 24     |  0.003% | 22     |  0.003% | 
 | 493  | Sandshrew          | 24     |  0.003% | 20     |  0.003% | 
 | 494  | Shellder           | 24     |  0.003% | 17     |  0.002% | 
 | 495  | Chimchar           | 24     |  0.003% | 18     |  0.003% | 
 | 496  | Flaaffy            | 24     |  0.003% | 18     |  0.003% | 
 | 497  | Azurill            | 23     |  0.003% | 21     |  0.003% | 
 | 498  | Larvesta           | 23     |  0.003% | 18     |  0.003% | 
 | 499  | Tranquill          | 23     |  0.003% | 16     |  0.002% | 
 | 500  | Whirlipede         | 22     |  0.002% | 19     |  0.003% | 
 | 501  | Elekid             | 22     |  0.002% | 18     |  0.003% | 
 | 502  | Bellsprout         | 22     |  0.002% | 12     |  0.002% | 
 | 503  | Minccino           | 21     |  0.002% | 18     |  0.003% | 
 | 504  | Sealeo             | 21     |  0.002% | 21     |  0.003% | 
 | 505  | Ralts              | 21     |  0.002% | 19     |  0.003% | 
 | 506  | Axew               | 21     |  0.002% | 18     |  0.003% | 
 | 507  | Staravia           | 21     |  0.002% | 16     |  0.002% | 
 | 508  | Croconaw           | 21     |  0.002% | 19     |  0.003% | 
 | 509  | Pidgey             | 21     |  0.002% | 16     |  0.002% | 
 | 510  | Torchic            | 21     |  0.002% | 17     |  0.002% | 
 | 511  | Skiploom           | 20     |  0.002% | 17     |  0.002% | 
 | 512  | Croagunk           | 20     |  0.002% | 14     |  0.002% | 
 | 513  | Marshtomp          | 20     |  0.002% | 16     |  0.002% | 
 | 514  | Vibrava            | 20     |  0.002% | 15     |  0.002% | 
 | 515  | Litwick            | 20     |  0.002% | 16     |  0.002% | 
 | 516  | Joltik             | 20     |  0.002% | 17     |  0.002% | 
 | 517  | Shroomish          | 19     |  0.002% | 16     |  0.002% | 
 | 518  | Gible              | 19     |  0.002% | 17     |  0.002% | 
 | 519  | Voltorb            | 19     |  0.002% | 17     |  0.002% | 
 | 520  | Cranidos           | 19     |  0.002% | 19     |  0.003% | 
 | 521  | Kirlia             | 18     |  0.002% | 17     |  0.002% | 
 | 522  | Slowpoke           | 18     |  0.002% | 17     |  0.002% | 
 | 523  | Skorupi            | 18     |  0.002% | 13     |  0.002% | 
 | 524  | Yamask             | 18     |  0.002% | 16     |  0.002% | 
 | 525  | Shieldon           | 18     |  0.002% | 16     |  0.002% | 
 | 526  | Shelmet            | 18     |  0.002% | 13     |  0.002% | 
 | 527  | Sewaddle           | 17     |  0.002% | 9      |  0.001% | 
 | 528  | Ponyta             | 17     |  0.002% | 11     |  0.002% | 
 | 529  | Turtwig            | 17     |  0.002% | 17     |  0.002% | 
 | 530  | Glameow            | 17     |  0.002% | 13     |  0.002% | 
 | 531  | Swadloon           | 17     |  0.002% | 16     |  0.002% | 
 | 532  | Prinplup           | 16     |  0.002% | 11     |  0.002% | 
 | 533  | Mareep             | 16     |  0.002% | 13     |  0.002% | 
 | 534  | Smoochum           | 16     |  0.002% | 11     |  0.002% | 
 | 535  | Wailmer            | 16     |  0.002% | 15     |  0.002% | 
 | 536  | Wormadam-Sandy     | 15     |  0.002% | 13     |  0.002% | 
 | 537  | Patrat             | 15     |  0.002% | 9      |  0.001% | 
 | 538  | Silcoon            | 14     |  0.002% | 13     |  0.002% | 
 | 539  | Palpitoad          | 14     |  0.002% | 13     |  0.002% | 
 | 540  | Herdier            | 14     |  0.002% | 12     |  0.002% | 
 | 541  | Surskit            | 13     |  0.001% | 8      |  0.001% | 
 | 542  | Trubbish           | 13     |  0.001% | 12     |  0.002% | 
 | 543  | Oddish             | 13     |  0.001% | 11     |  0.002% | 
 | 544  | Krabby             | 13     |  0.001% | 12     |  0.002% | 
 | 545  | Gulpin             | 12     |  0.001% | 10     |  0.001% | 
 | 546  | Hoothoot           | 12     |  0.001% | 11     |  0.002% | 
 | 547  | Wormadam           | 12     |  0.001% | 10     |  0.001% | 
 | 548  | Golett             | 12     |  0.001% | 10     |  0.001% | 
 | 549  | Nuzleaf            | 12     |  0.001% | 11     |  0.002% | 
 | 550  | Roggenrola         | 11     |  0.001% | 8      |  0.001% | 
 | 551  | Rufflet            | 11     |  0.001% | 10     |  0.001% | 
 | 552  | Budew              | 11     |  0.001% | 9      |  0.001% | 
 | 553  | Marill             | 11     |  0.001% | 10     |  0.001% | 
 | 554  | Pawniard           | 11     |  0.001% | 6      |  0.001% | 
 | 555  | Spoink             | 11     |  0.001% | 9      |  0.001% | 
 | 556  | Poochyena          | 11     |  0.001% | 11     |  0.002% | 
 | 557  | Happiny            | 11     |  0.001% | 9      |  0.001% | 
 | 558  | Tirtouga           | 11     |  0.001% | 10     |  0.001% | 
 | 559  | Nidorina           | 11     |  0.001% | 8      |  0.001% | 
 | 560  | Houndour           | 10     |  0.001% | 8      |  0.001% | 
 | 561  | Barboach           | 10     |  0.001% | 5      |  0.001% | 
 | 562  | Luxio              | 10     |  0.001% | 10     |  0.001% | 
 | 563  | Cubchoo            | 10     |  0.001% | 6      |  0.001% | 
 | 564  | Cascoon            | 10     |  0.001% | 9      |  0.001% | 
 | 565  | Lombre             | 10     |  0.001% | 8      |  0.001% | 
 | 566  | Tyrogue            | 10     |  0.001% | 5      |  0.001% | 
 | 567  | Makuhita           | 10     |  0.001% | 9      |  0.001% | 
 | 568  | Wurmple            | 10     |  0.001% | 9      |  0.001% | 
 | 569  | Pupitar            | 10     |  0.001% | 9      |  0.001% | 
 | 570  | Poliwag            | 9      |  0.001% | 8      |  0.001% | 
 | 571  | Numel              | 9      |  0.001% | 9      |  0.001% | 
 | 572  | Meditite           | 9      |  0.001% | 8      |  0.001% | 
 | 573  | Elgyem             | 9      |  0.001% | 8      |  0.001% | 
 | 574  | Lileep             | 9      |  0.001% | 8      |  0.001% | 
 | 575  | Whismur            | 9      |  0.001% | 7      |  0.001% | 
 | 576  | Wooper             | 8      |  0.001% | 8      |  0.001% | 
 | 577  | Seel               | 8      |  0.001% | 6      |  0.001% | 
 | 578  | Spheal             | 8      |  0.001% | 7      |  0.001% | 
 | 579  | Corphish           | 8      |  0.001% | 7      |  0.001% | 
 | 580  | Chingling          | 8      |  0.001% | 6      |  0.001% | 
 | 581  | Ekans              | 8      |  0.001% | 6      |  0.001% | 
 | 582  | Pansear            | 7      |  0.001% | 6      |  0.001% | 
 | 583  | Deino              | 7      |  0.001% | 6      |  0.001% | 
 | 584  | NidoranF           | 7      |  0.001% | 6      |  0.001% | 
 | 585  | Spearow            | 7      |  0.001% | 6      |  0.001% | 
 | 586  | Blitzle            | 7      |  0.001% | 6      |  0.001% | 
 | 587  | Snorunt            | 7      |  0.001% | 7      |  0.001% | 
 | 588  | Combee             | 7      |  0.001% | 3      |  0.000% | 
 | 589  | Vanillite          | 7      |  0.001% | 7      |  0.001% | 
 | 590  | Vanillish          | 6      |  0.001% | 5      |  0.001% | 
 | 591  | Venonat            | 6      |  0.001% | 6      |  0.001% | 
 | 592  | Chikorita          | 6      |  0.001% | 5      |  0.001% | 
 | 593  | Beldum             | 6      |  0.001% | 5      |  0.001% | 
 | 594  | Foongus            | 6      |  0.001% | 5      |  0.001% | 
 | 595  | Bonsly             | 6      |  0.001% | 6      |  0.001% | 
 | 596  | Stunky             | 6      |  0.001% | 6      |  0.001% | 
 | 597  | Kabuto             | 6      |  0.001% | 6      |  0.001% | 
 | 598  | Munna              | 6      |  0.001% | 6      |  0.001% | 
 | 599  | Tynamo             | 6      |  0.001% | 6      |  0.001% | 
 | 600  | Snubbull           | 5      |  0.001% | 4      |  0.001% | 
 | 601  | Slakoth            | 5      |  0.001% | 5      |  0.001% | 
 | 602  | Weepinbell         | 5      |  0.001% | 4      |  0.001% | 
 | 603  | Tympole            | 5      |  0.001% | 4      |  0.001% | 
 | 604  | Magby              | 5      |  0.001% | 4      |  0.001% | 
 | 605  | Swablu             | 5      |  0.001% | 5      |  0.001% | 
 | 606  | Sandile            | 5      |  0.001% | 4      |  0.001% | 
 | 607  | Seedot             | 4      |  0.000% | 4      |  0.001% | 
 | 608  | Pidove             | 4      |  0.000% | 4      |  0.001% | 
 | 609  | Woobat             | 4      |  0.000% | 4      |  0.001% | 
 | 610  | Panpour            | 4      |  0.000% | 4      |  0.001% | 
 | 611  | Nincada            | 4      |  0.000% | 3      |  0.000% | 
 | 612  | Horsea             | 4      |  0.000% | 3      |  0.000% | 
 | 613  | Slugma             | 4      |  0.000% | 4      |  0.001% | 
 | 614  | Cacnea             | 4      |  0.000% | 3      |  0.000% | 
 | 615  | Burmy              | 4      |  0.000% | 4      |  0.001% | 
 | 616  | Pansage            | 3      |  0.000% | 1      |  0.000% | 
 | 617  | Baltoy             | 3      |  0.000% | 3      |  0.000% | 
 | 618  | Larvitar           | 3      |  0.000% | 2      |  0.000% | 
 | 619  | Finneon            | 3      |  0.000% | 1      |  0.000% | 
 | 620  | Grimer             | 3      |  0.000% | 2      |  0.000% | 
 | 621  | Bagon              | 3      |  0.000% | 3      |  0.000% | 
 | 622  | Loudred            | 3      |  0.000% | 3      |  0.000% | 
 | 623  | Drowzee            | 3      |  0.000% | 3      |  0.000% | 
 | 624  | Cherubi            | 2      |  0.000% | 1      |  0.000% | 
 | 625  | Anorith            | 2      |  0.000% | 2      |  0.000% | 
 | 626  | Shellos            | 2      |  0.000% | 1      |  0.000% | 
 | 627  | Sentret            | 2      |  0.000% | 2      |  0.000% | 
 | 628  | Exeggcute          | 2      |  0.000% | 1      |  0.000% | 
 | 629  | Spinarak           | 2      |  0.000% | 2      |  0.000% | 
 | 630  | Ledyba             | 2      |  0.000% | 0      |  0.000% | 
 | 631  | Lillipup           | 1      |  0.000% | 1      |  0.000% | 
 | 632  | Remoraid           | 1      |  0.000% | 1      |  0.000% | 
 | 633  | Paras              | 1      |  0.000% | 0      |  0.000% | 
 | 634  | Klink              | 1      |  0.000% | 1      |  0.000% | 
 | 635  | Venipede           | 1      |  0.000% | 1      |  0.000% | 
 | 636  | Carvanha           | 1      |  0.000% | 1      |  0.000% | 
 | 637  | Gothita            | 1      |  0.000% | 1      |  0.000% | 
 | 638  | Electrike          | 1      |  0.000% | 1      |  0.000% | 
 | 639  | Kricketot          | 1      |  0.000% | 1      |  0.000% | 
 | 640  | Lotad              | 1      |  0.000% | 1      |  0.000% | 
 | 641  | Deerling           | 1      |  0.000% | 1      |  0.000% | 
 + ---- + ------------------ + ------ + ------- + ------ + ------- +
