 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 | 560  | Kabuto             | 1      |  0.000% |
 | 561  | Shinx              | 1      |  0.000% |
 | 562  | Bagon              | 1      |  0.000% |
 | 563  | Lileep             | 1      |  0.000% |
 | 564  | Vullaby            | 1      |  0.000% |
 | 565  | Tynamo             | 1      |  0.000% |
 | 566  | Tranquill          | 1      |  0.000% |
 | 567  | Spinarak           | 1      |  0.000% |
 | 568  | Cacnea             | 1      |  0.000% |
 | 569  | Torchic            | 1      |  0.000% |
 | 570  | Elekid             | 1      |  0.000% |
 + ---- + ------------------ + ------ + ------- +
