 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 | 125  | Meloetta           | 785    |  0.088% |
 | 126  | Raikou             | 766    |  0.086% |
 | 127  | Claydol            | 763    |  0.086% |
 | 128  | Cinccino           | 754    |  0.085% |
 | 129  | Rhyperior          | 741    |  0.084% |
 | 130  | Ludicolo           | 738    |  0.083% |
 | 131  | Galvantula         | 711    |  0.080% |
 | 132  | Eelektross         | 709    |  0.080% |
 | 133  | Liepard            | 695    |  0.078% |
 | 134  | Typhlosion         | 681    |  0.077% |
 | 135  | Shuckle            | 678    |  0.076% |
 | 136  | Steelix            | 676    |  0.076% |
 | 137  | Bisharp            | 668    |  0.075% |
 | 138  | Lanturn            | 668    |  0.075% |
 | 139  | Azumarill          | 659    |  0.074% |
 | 140  | Krookodile         | 651    |  0.073% |
 | 141  | Aggron             | 646    |  0.073% |
 | 142  | Registeel          | 644    |  0.073% |
 | 143  | Sharpedo           | 640    |  0.072% |
 | 144  | Hitmontop          | 638    |  0.072% |
 | 145  | Kyurem             | 634    |  0.071% |
 | 146  | Dusknoir           | 616    |  0.069% |
 | 147  | Lapras             | 593    |  0.067% |
 | 148  | Electrode          | 557    |  0.063% |
 | 149  | Slowking           | 557    |  0.063% |
 | 150  | Scyther            | 523    |  0.059% |
 | 151  | Medicham           | 518    |  0.058% |
 | 152  | Spiritomb          | 511    |  0.058% |
 | 153  | Nidoqueen          | 490    |  0.055% |
 | 154  | Golem              | 487    |  0.055% |
 | 155  | Lilligant          | 448    |  0.050% |
 | 156  | Hitmonchan         | 446    |  0.050% |
 | 157  | Manectric          | 445    |  0.050% |
 | 158  | Honchkrow          | 442    |  0.050% |
 | 159  | Gigalith           | 433    |  0.049% |
 | 160  | Mismagius          | 431    |  0.049% |
 | 161  | Houndoom           | 430    |  0.048% |
 | 162  | Feraligatr         | 413    |  0.047% |
 | 163  | Jumpluff           | 411    |  0.046% |
 | 164  | Moltres            | 411    |  0.046% |
 | 165  | Drifblim           | 410    |  0.046% |
 | 166  | Torterra           | 410    |  0.046% |
 | 167  | Suicune            | 405    |  0.046% |
 | 168  | Serperior          | 401    |  0.045% |
 | 169  | Murkrow            | 396    |  0.045% |
 | 170  | Clefable           | 384    |  0.043% |
 | 171  | Aron               | 384    |  0.043% |
 | 172  | Slaking            | 380    |  0.043% |
 | 173  | Flareon            | 375    |  0.042% |
 | 174  | Rotom-Mow          | 370    |  0.042% |
 | 175  | Shaymin            | 370    |  0.042% |
 | 176  | Quagsire           | 367    |  0.041% |
 | 177  | Magmortar          | 365    |  0.041% |
 | 178  | Gardevoir          | 364    |  0.041% |
 | 179  | Vulpix             | 356    |  0.040% |
 | 180  | Crustle            | 354    |  0.040% |
 | 181  | Carracosta         | 350    |  0.039% |
 | 182  | Sawsbuck           | 346    |  0.039% |
 | 183  | Raichu             | 337    |  0.038% |
 | 184  | Absol              | 332    |  0.037% |
 | 185  | Lopunny            | 330    |  0.037% |
 | 186  | Cradily            | 329    |  0.037% |
 | 187  | Magneton           | 324    |  0.037% |
 | 188  | Altaria            | 322    |  0.036% |
 | 189  | Primeape           | 319    |  0.036% |
 | 190  | Tangrowth          | 309    |  0.035% |
 | 191  | Leafeon            | 303    |  0.034% |
 | 192  | Braviary           | 302    |  0.034% |
 | 193  | Exeggutor          | 301    |  0.034% |
 | 194  | Poliwrath          | 300    |  0.034% |
 | 195  | Hippopotas         | 298    |  0.034% |
 | 196  | Seismitoad         | 295    |  0.033% |
 | 197  | Emboar             | 293    |  0.033% |
 | 198  | Persian            | 292    |  0.033% |
 | 199  | Samurott           | 289    |  0.033% |
 | 200  | Banette            | 288    |  0.032% |
 | 201  | Linoone            | 284    |  0.032% |
 | 202  | Swellow            | 282    |  0.032% |
 | 203  | Bastiodon          | 277    |  0.031% |
 | 204  | Stoutland          | 264    |  0.030% |
 | 205  | Luxray             | 252    |  0.028% |
 | 206  | Probopass          | 250    |  0.028% |
